,date,open,high,close,low,volume,time,bb_bbm,bb_bbh,bb_bbl
28,12/4/2018,3833.47,4035.1,3901.84,3732.43,16954.85724,1543881600,3552.8515,4098.055068,3007.647932
29,12/3/2018,4102.8,4119.98,3833.47,3741.95,17040.92435,1543795200,3547.2785,4078.434725,3016.122275
30,12/2/2018,4142.01,4266,4103.19,4036,11311.33064,1543708800,3553.415,4106.817734,3000.012266
31,12/1/2018,3976.01,4277,4142.01,3910.08,10546.5152,1543622400,3568.5625,4167.150004,2969.974996
32,11/30/2018,4247.99,4297.71,3976,3869,20010.38688,1543536000,3563.5955,4146.729012,2980.461988
33,11/29/2018,4224.86,4414.89,4248,4077.88,20589.29919,1543449600,3591.87,4245.858284,2937.881716
34,11/28/2018,3775.01,4365,4225.03,3775,35951.14939,1543363200,3619.733,4329.395908,2910.070092
35,11/27/2018,3731.01,3830,3775,3562.9,23788.75185,1543276800,3633.642,4344.027564,2923.256436
36,11/26/2018,3936.7,4076.25,3731.32,3508,36455.22368,1543190400,3660.458,4342.51232,2978.40368
37,11/25/2018,3775,4120,3936.69,3456.78,39067.04083,1543104000,3698.1425,4353.264782,3043.020218
38,11/24/2018,4283.8,4370.78,3774.99,3650.84,22955.31008,1543017600,3727.1065,4340.72118,3113.49182
39,11/23/2018,4268.18,4366.05,4283.8,4085.73,19589.94094,1542931200,3778.0465,4398.865707,3157.227293
40,11/22/2018,4545.12,4589,4265.36,4238.69,13038.24058,1542844800,3819.8025,4453.634695,3185.970305
41,11/21/2018,4349.24,4627.55,4545.11,4239.01,28516.37042,1542758400,3879.59,4549.213801,3209.966199
42,11/20/2018,4736.67,4889,4349.23,4035,66596.87805,1542672000,3926.544,4589.578604,3263.509396
43,11/19/2018,5560,5560,4733.5,4670.05,41591.9223,1542585600,3986.66,4710.629758,3262.690242
44,11/18/2018,5503.34,5665,5560,5503.34,4724.534513,1542499200,4094.61,5045.398949,3143.821051
45,11/17/2018,5512.26,5544,5504.17,5450.83,4784.397208,1542412800,4200.818,5275.117918,3126.518082
46,11/16/2018,5579.5,5609.91,5512.24,5410,9359.822817,1542326400,4304.767,5461.069388,3148.464612
47,11/15/2018,5605.01,5645,5579.52,5188,21893.75592,1542240000,4399.0235,5644.810435,3153.236565
48,11/14/2018,6259.35,6293.38,5605.46,5280.93,32734.23711,1542153600,4484.2045,5812.595028,3155.813972
49,11/13/2018,6327.87,6328.22,6259.34,6252.5,4686.914664,1542067200,4605.498,6105.932295,3105.063705
50,11/12/2018,6357.6,6383.59,6327.87,6305.95,3731.222774,1541980800,4716.732,6373.433982,3060.030018
51,11/11/2018,6347.42,6360,6357.6,6271.15,2363.528605,1541894400,4827.5115,6607.399572,3047.623428
52,11/10/2018,6334.89,6374,6347.42,6327.46,2421.623959,1541808000,4946.0825,6797.77773,3094.38727
53,11/9/2018,6406.24,6415,6334.89,6305,4588.216366,1541721600,5050.427,6967.069258,3133.784742
54,11/8/2018,6503.12,6511.88,6406.24,6388,5335.810773,1541635200,5159.4875,7123.496286,3195.478714
55,11/7/2018,6448.5,6540,6503.12,6448.5,5832.93618,1541548800,5295.8935,7235.123413,3356.663587
