,date,open,high,close,low,volume,time,bb_bbm,bb_bbh,bb_bbl
203,2016-07-23,654.7,662.35,657.5,653.92,4379.51140552,1469232000,664.708,685.4353303635561,643.9806696364438
204,2016-07-24,657.68,666.37,661.0,655.01,3423.08122968,1469318400,663.6589999999999,682.8503020923538,644.467697907646
205,2016-07-25,660.92,664.13,657.79,653.77,4101.53773839,1469404800,663.0550000000001,682.1866632836768,643.9233367163233
206,2016-07-26,657.99,658.99,654.06,645.0,6470.74022151,1469491200,661.8185,679.8897138773237,643.7472861226762
207,2016-07-27,654.06,658.99,657.35,646.56,5175.14137436,1469577600,662.5875,678.3800373198858,646.7949626801142
208,2016-07-28,657.0,659.97,657.4,654.1,3832.98840948,1469664000,662.091,677.8802987811359,646.3017012188641
209,2016-07-29,657.4,659.0,657.0,651.0,4246.21269481,1469750400,662.0604999999999,677.8866182543281,646.2343817456717
210,2016-07-30,657.18,658.98,655.87,652.95,2980.08541508,1469836800,662.2320000000001,677.7078529328753,646.7561470671249
211,2016-07-31,655.95,657.0,626.97,621.37,6299.64138309,1469923200,661.0319999999999,682.4108966974438,639.653103302556
212,2016-08-01,626.97,629.34,605.2,599.0,7981.71787362,1470009600,657.964,690.1624070413424,625.7655929586577
213,2016-08-02,604.87,613.38,537.47,483.0,14839.34615984,1470096000,652.0705,713.7161630996857,590.4248369003144
214,2016-08-03,538.8,576.0,573.36,519.3,20292.859717,1470182400,647.6560000000001,717.9621287228924,577.3498712771077
215,2016-08-04,573.35,599.95,587.5,562.11,9514.32837515,1470268800,643.6569999999999,717.9815208797197,569.3324791202801
216,2016-08-05,587.5,592.87,583.0,570.39,5478.38879554,1470355200,639.491,717.5156383907025,561.4663616092975
217,2016-08-06,583.0,591.72,591.71,574.5,3907.87281274,1470441600,635.0764999999999,713.4238160420946,556.7291839579052
218,2016-08-07,591.7,598.65,595.14,587.2,3288.65737176,1470528000,631.0585,708.9423723420957,553.1746276579042
219,2016-08-08,595.14,595.99,591.48,590.0,3852.03062424,1470614400,626.9335,704.0222512611265,549.8447487388735
220,2016-08-09,591.58,594.04,586.45,585.38,4817.62624738,1470700800,622.9100000000001,699.6297502602807,546.1902497397194
221,2016-08-10,586.75,601.09,594.94,583.29,9439.72597721,1470787200,619.293,694.1015163868381,544.484483613162
222,2016-08-11,594.94,599.99,587.91,585.6,5062.58283783,1470873600,615.955,690.106313272253,541.803686727747
223,2016-08-12,587.9,590.09,587.74,583.62,3870.89068755,1470960000,612.467,685.0188609272001,539.9151390727999
224,2016-08-13,587.68,589.5,586.45,586.0,2839.70446781,1471046400,608.7395,678.5426656803598,538.9363343196402
225,2016-08-14,586.45,586.49,574.99,565.19,4154.4769823,1471132800,604.5995,672.0571828760058,537.1418171239943
226,2016-08-15,574.97,574.97,567.79,561.56,4403.16173516,1471219200,600.2860000000001,665.5380765646561,535.033923435344
227,2016-08-16,567.85,581.99,579.02,566.09,4692.46182455,1471305600,596.3695,656.6659852955769,536.0730147044231
228,2016-08-17,579.02,581.99,574.45,569.67,4509.7743737,1471392000,592.222,646.2405859126254,538.2034140873745
229,2016-08-18,574.45,576.99,574.09,573.0,3964.9989895,1471478400,588.0765,633.6372613083856,542.5157386916144
230,2016-08-19,574.05,576.99,573.67,572.68,4038.30300064,1471564800,583.9665,617.5898890469069,550.3431109530931
231,2016-08-20,573.68,583.92,581.87,572.38,3581.22425349,1471651200,581.7115,608.9366914777409,554.4863085222592
232,2016-08-21,581.72,583.99,581.29,579.34,2442.63374814,1471737600,580.516,605.5197552379567,555.5122447620432
233,2016-08-22,581.34,586.99,585.2,579.22,4493.44110907,1471824000,582.9025,598.2713839867981,567.5336160132019
234,2016-08-23,585.19,586.77,582.39,577.47,5092.27462505,1471910400,583.354,598.0926517700793,568.6153482299208
